"KeyCode","KeyDown","KeyUp"
81, 1460212107347, 1460212107431
85, 1460212107457, 1460212107541
65, 1460212107558, 1460212107668
78, 1460212107689, 1460212107818
32, 1460212107940, 1460212108050
84, 1460212108071, 1460212108177
82, 1460212108168, 1460212108286
79, 1460212108245, 1460212108348
78, 1460212108331, 1460212108430
71, 1460212108368, 1460212108468
74, 1460212108550, 1460212108719
32, 1460212108650, 1460212108782
16, 1460212108806, 1460212108986
72, 1460212108946, 1460212109054
65, 1460212109105, 1460212109241
70, 1460212109213, 1460212109312
32, 1460212109383, 1460212109512
16, 1460212109442, 1460212109729
68, 1460212109670, 1460212109750
85, 1460212109823, 1460212109941
79, 1460212109916, 1460212110037
78, 1460212110118, 1460212110312
87, 1460212110485, 1460212110578
71, 1460212111104, 1460212111197
32, 1460212111416, 1460212111537
16, 1460212111640, 1460212111862
84, 1460212111793, 1460212111874
72, 1460212111927, 1460212112039
65, 1460212111990, 1460212112086
78, 1460212112140, 1460212112231
72, 1460212112310, 1460212112429
70, 1460212112422, 1460212112523
188, 1460212113471, 1460212113632
32, 1460212113572, 1460212113663
67, 1460212113626, 1460212113734
72, 1460212113771, 1460212113872
69, 1460212113856, 1460212113951
78, 1460212113979, 1460212114052
74, 1460212114158, 1460212114292
32, 1460212114237, 1460212114336
76, 1460212114392, 1460212114519
65, 1460212114488, 1460212114548
65, 1460212114639, 1460212114756
83, 1460212114716, 1460212114821
89, 1460212114752, 1460212114897
32, 1460212114844, 1460212114959
67, 1460212114972, 1460212115076
72, 1460212115071, 1460212115152
79, 1460212115251, 1460212115313
79, 1460212115391, 1460212115509
88, 1460212115486, 1460212115561
32, 1460212115601, 1460212115659
72, 1460212115760, 1460212115885
73, 1460212115831, 1460212115957
69, 1460212115880, 1460212115966
69, 1460212116049, 1460212116171
82, 1460212116133, 1460212116216
77, 1460212116154, 1460212116283
32, 1460212116262, 1460212116328
89, 1460212116430, 1460212116547
69, 1460212116541, 1460212116609
69, 1460212116699, 1460212116798
