16,172,-48,124,0
84,104,96,200,0
65,72,112,184,0
32,107,29,136,0
84,64,56,120,0
72,144,-32,112,0
85,96,104,200,0
79,120,-32,88,0
78,87,-15,72,0
71,80,48,128,0
32,72,16,88,0
84,64,80,144,0
79,80,96,176,0
73,72,31,103,0
32,97,40,137,0
66,72,56,128,0
85,88,32,120,0
65,88,32,120,0
32,72,184,256,0
81,104,1,105,0
85,79,56,135,0
69,80,16,96,0
78,64,96,160,0
32,64,64,128,0
65,96,24,120,0
78,72,88,160,0
32,72,104,176,0
78,120,-48,72,0
85,96,2,98,0
65,78,32,110,0
32,112,1,113,0
68,143,-40,103,0
69,111,-31,80,0
77,72,96,168,0
32,72,24,96,0
86,104,1,105,0
79,71,32,103,0
32,96,95,191,0
71,73,1,74,0
79,71,96,167,0
73,81,1,82,0
32,86,120,206,0
82,88,56,144,0
85,72,112,184,0
79,71,505,576,0
84,72,208,280,0
32,96,144,240,0
68,136,-32,104,0
65,105,2,107,0
85,76,32,108,0
32,81,32,113,0
78,72,112,184,0
72,96,-40,56,0
85,122,-58,64,0
32,144,1,145,0
67,126,-55,71,0
65,119,187,306,0
84,78,64,142,0
32,64,96,160,0
78,80,120,200,0
85,64,112,176,0
79,64,16,80,0
67,96,24,120,0
32,88,1,89,0
77,71,24,95,0
65,96,24,120,0
84,80,32,112,0
32,64,88,152,0
68,112,-64,48,0
65,144,-32,112,0
77,80,104,184,0
32,64,32,96,0
68,96,32,128,0
73,72,24,96,0
65,104,56,160,0
32,96,71,167,0
67,81,24,105,0
72,104,-64,40,0
73,120,1,121,0
32,87,16,103,0
84,64,96,160,0
73,64,24,88,0
69,80,80,160,0
67,100,11,111,0
32,73,96,169,0
75,72,64,136,0
72,72,72,144,0
79,104,2,106,0
78,78,24,102,0
71,64,72,136,0
32,89,31,120,0
88,136,-24,112,0
65,104,24,128,0
32,63,89,152,0
84,80,64,144,0
72,120,-48,72,0
73,112,88,200,0
84,72,48,120,0
32,80,88,168,0
76,72,112,184,0
79,64,72,136,0
84,72,56,128,0
32,72,311,383,0
68,121,-32,89,0
65,104,56,160,0
32,80,304,384,0
78,72,95,167,0
85,73,112,185,0
79,64,32,96,0
84,80,72,152,0
32,80,56,136,0
71,88,1,89,0
65,88,1,89,0
78,70,104,174,0
32,63,113,176,0
85,64,104,168,0
79,104,-32,72,0
78,80,40,120,0
71,80,1,81,0
32,149,2,151,0
77,15,41,56,0
65,128,2,130,0
85,70,16,86,0
32,104,-16,88,0
81,104,80,184,0
85,80,136,216,0
65,96,24,120,0
78,64,120,184,0
32,72,23,95,0
84,81,96,177,0
72,112,-32,80,0
85,96,128,224,0
32,88,280,368,0
68,120,-25,95,0
65,120,72,192,0
85,80,48,128,0
32,138,-33,105,0
67,127,2,129,0
72,94,-56,38,0
79,144,2,146,0
32,78,32,110,0
84,72,48,120,0
72,81,32,113,0
65,88,16,104,0
78,72,104,176,0
32,64,80,144,0
78,64,160,224,0
89,88,-24,64,0
65,136,591,727,0
32,81,152,233,0
80,80,144,224,0
72,96,-16,80,0
79,96,104,200,0
73,72,40,112,0
32,112,320,432,0
78,72,49,121,0
71,63,56,119,0
79,66,86,152,0
65,112,32,144,0
73,104,48,152,0
32,136,95,231,0
78,113,2,115,0
79,94,103,197,0
73,81,1,82,0
32,156,-30,126,0
67,129,1,130,0
79,94,48,142,0
32,112,160,272,0
78,80,48,128,0
71,80,57,137,0
72,104,-40,64,0
73,136,624,760,0
78,91,341,432,0
32,112,383,495,0
88,105,-32,73,0
65,176,-16,160,0
67,96,88,184,0
32,71,105,176,0
78,72,48,120,0
65,112,2,114,0
89,86,104,190,0
32,88,120,208,0
71,63,32,95,0
79,73,104,177,0
73,72,16,88,0
32,79,193,272,0
82,104,-64,40,0
79,159,-31,128,0
